                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9549,                 2.9277,                 1.6118,                0.70089,                0.21228,                0.21222,                0.11062,                 1.9082,                 1.9658,                 1.6509,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.8614,                 2.0151,                 1.5034,                0.67057,                0.26389,                0.25818,                0.13624,                 1.8857,                 1.7725,                 1.5788,              0.0065974,              0.0065974,              0.0065974
                      3,                 1.8683,                 1.9154,                 1.4968,                0.60813,                0.27883,                0.26206,                0.13477,                  1.927,                 1.7944,                 1.5983,              0.0097988,              0.0097988,              0.0097988
                      4,                 1.8756,                 1.8252,                    1.5,                 0.6086,                0.27895,                0.27316,                0.13887,                 1.9491,                 1.7407,                 1.6029,               0.009703,               0.009703,               0.009703
                      5,                 1.8457,                 1.7154,                 1.4809,                0.57679,                0.31857,                0.31182,                0.16388,                 1.8493,                 1.5991,                 1.5347,               0.009604,               0.009604,               0.009604
                      6,                 1.8199,                 1.6525,                 1.4661,                0.49916,                0.34452,                0.33052,                0.17696,                 1.8465,                 1.5681,                 1.5348,               0.009505,               0.009505,               0.009505
                      7,                 1.8036,                 1.6087,                 1.4569,                0.56748,                0.35325,                0.35079,                0.18696,                 1.8237,                 1.5101,                 1.5224,               0.009406,               0.009406,               0.009406
                      8,                 1.7866,                 1.5651,                 1.4439,                0.59589,                0.36095,                0.35772,                 0.1905,                 1.8016,                 1.4713,                 1.4987,               0.009307,               0.009307,               0.009307
                      9,                 1.7809,                 1.5458,                 1.4416,                0.51357,                0.36812,                0.35748,                0.19291,                 1.8014,                 1.4666,                 1.4929,               0.009208,               0.009208,               0.009208
                     10,                 1.7717,                 1.5245,                 1.4346,                0.50321,                0.38284,                0.37024,                0.19854,                  1.785,                 1.4475,                 1.4852,               0.009109,               0.009109,               0.009109
                     11,                 1.7587,                 1.4992,                 1.4249,                0.61949,                0.37118,                0.37177,                0.19935,                 1.7888,                 1.4373,                 1.4819,                0.00901,                0.00901,                0.00901
