                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9549,                 2.9277,                 1.6118,                0.70089,                0.21228,                0.21222,                0.11062,                 1.9082,                 1.9658,                 1.6509,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.8614,                 2.0151,                 1.5034,                0.67057,                0.26389,                0.25818,                0.13624,                 1.8857,                 1.7725,                 1.5788,              0.0065974,              0.0065974,              0.0065974
                      3,                 1.8683,                 1.9154,                 1.4968,                0.60813,                0.27883,                0.26206,                0.13477,                  1.927,                 1.7944,                 1.5983,              0.0097988,              0.0097988,              0.0097988
                      4,                 1.8756,                 1.8252,                    1.5,                 0.6086,                0.27895,                0.27316,                0.13887,                 1.9491,                 1.7407,                 1.6029,               0.009703,               0.009703,               0.009703
                      5,                 1.8457,                 1.7154,                 1.4809,                0.57679,                0.31857,                0.31182,                0.16388,                 1.8493,                 1.5991,                 1.5347,               0.009604,               0.009604,               0.009604
                      6,                 1.8199,                 1.6525,                 1.4661,                0.49916,                0.34452,                0.33052,                0.17696,                 1.8465,                 1.5681,                 1.5348,               0.009505,               0.009505,               0.009505
                      7,                 1.8036,                 1.6087,                 1.4569,                0.56748,                0.35325,                0.35079,                0.18696,                 1.8237,                 1.5101,                 1.5224,               0.009406,               0.009406,               0.009406
                      8,                 1.7866,                 1.5651,                 1.4439,                0.59589,                0.36095,                0.35772,                 0.1905,                 1.8016,                 1.4713,                 1.4987,               0.009307,               0.009307,               0.009307
                      9,                 1.7809,                 1.5458,                 1.4416,                0.51357,                0.36812,                0.35748,                0.19291,                 1.8014,                 1.4666,                 1.4929,               0.009208,               0.009208,               0.009208
                     10,                 1.7717,                 1.5245,                 1.4346,                0.50321,                0.38284,                0.37024,                0.19854,                  1.785,                 1.4475,                 1.4852,               0.009109,               0.009109,               0.009109
                     11,                 1.7587,                 1.4992,                 1.4249,                0.61949,                0.37118,                0.37177,                0.19935,                 1.7888,                 1.4373,                 1.4819,                0.00901,                0.00901,                0.00901
                     12,                 1.7533,                 1.4909,                 1.4208,                0.48878,                0.39333,                0.38787,                0.20892,                 1.7648,                 1.3887,                 1.4688,               0.008911,               0.008911,               0.008911
                     13,                 1.7469,                  1.472,                 1.4184,                0.46825,                0.40395,                0.38852,                0.21094,                 1.7718,                 1.3764,                 1.4653,               0.008812,               0.008812,               0.008812
                     14,                 1.7407,                 1.4521,                 1.4083,                0.52911,                0.40002,                0.40083,                0.21784,                 1.7586,                 1.3782,                  1.462,               0.008713,               0.008713,               0.008713
                     15,                  1.732,                 1.4452,                 1.4073,                0.46067,                0.42805,                 0.4065,                 0.2213,                 1.7585,                 1.3503,                 1.4568,               0.008614,               0.008614,               0.008614
                     16,                 1.7287,                 1.4342,                 1.4008,                0.45798,                 0.4327,                0.40903,                0.22319,                 1.7364,                 1.3448,                 1.4457,               0.008515,               0.008515,               0.008515
                     17,                 1.7278,                 1.4245,                 1.4007,                0.55652,                0.41931,                0.41548,                 0.2267,                 1.7403,                 1.3408,                 1.4531,               0.008416,               0.008416,               0.008416
                     18,                 1.7223,                 1.4133,                 1.3961,                0.48618,                0.43625,                 0.4174,                0.22957,                  1.735,                 1.3242,                 1.4443,               0.008317,               0.008317,               0.008317
                     19,                 1.7208,                 1.4144,                 1.3943,                0.52328,                0.42615,                0.42641,                0.23563,                 1.7334,                 1.3145,                 1.4387,               0.008218,               0.008218,               0.008218
                     20,                  1.714,                 1.3979,                 1.3854,                0.55473,                  0.438,                0.42365,                0.23295,                 1.7232,                 1.3081,                 1.4405,               0.008119,               0.008119,               0.008119
                     21,                 1.7103,                 1.3895,                 1.3839,                0.53382,                0.43432,                 0.4319,                 0.2387,                 1.7171,                 1.3066,                 1.4328,                0.00802,                0.00802,                0.00802
                     22,                 1.7038,                 1.3788,                 1.3813,                0.51496,                0.44587,                0.43912,                0.24243,                 1.7203,                 1.2917,                 1.4322,               0.007921,               0.007921,               0.007921
                     23,                  1.705,                 1.3813,                 1.3832,                0.55141,                0.44381,                0.43691,                0.24058,                 1.7157,                 1.2895,                 1.4253,               0.007822,               0.007822,               0.007822
                     24,                 1.7019,                 1.3703,                 1.3812,                0.52906,                0.45152,                0.44315,                 0.2462,                 1.7099,                 1.2771,                 1.4227,               0.007723,               0.007723,               0.007723
                     25,                 1.6984,                 1.3647,                 1.3765,                0.51778,                0.44343,                 0.4391,                0.24388,                 1.7098,                 1.2805,                 1.4259,               0.007624,               0.007624,               0.007624
