                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0039,                 3.5554,                 2.7144,                 1.6321,                0.68617,                0.23783,                0.24882,                0.13051,                0.67139,                0.22201,                0.22421,                0.10328,                 1.8722,                 3.2969,                  1.817,                 1.5323,             0.00017516,             0.00017516,             0.00017516
                      2,                 1.8785,                 3.2576,                 1.9104,                 1.5122,                0.62623,                0.29589,                0.28371,                0.15092,                0.61213,                0.27129,                0.25449,                0.12058,                  1.881,                 3.2492,                 1.7266,                 1.5075,              0.0003158,              0.0003158,              0.0003158
                      3,                 1.8475,                 3.1863,                 1.7339,                 1.4939,                0.56678,                0.31634,                0.31468,                0.16783,                0.55968,                0.28934,                 0.2823,                0.13053,                 1.8257,                 3.1905,                 1.5886,                 1.4715,             0.00042171,             0.00042171,             0.00042171
                      4,                 1.8202,                 3.1453,                  1.638,                 1.4723,                0.57507,                0.33972,                0.32526,                0.17255,                0.55787,                0.31345,                0.29123,                0.13554,                 1.8135,                 3.1372,                 1.5519,                 1.4632,             0.00036978,             0.00036978,             0.00036978
                      5,                  1.791,                 3.1056,                 1.5568,                 1.4493,                0.56879,                0.36652,                  0.361,                0.19452,                0.53529,                0.33511,                0.31941,                0.14865,                 1.7841,                    3.1,                 1.4779,                 1.4389,              0.0003177,              0.0003177,              0.0003177
                      6,                 1.7698,                 3.0676,                 1.4992,                 1.4329,                 0.6153,                 0.3808,                0.37717,                0.20524,                0.60168,                0.34932,                0.33839,                 0.1562,                 1.7611,                 3.0815,                 1.4473,                 1.4244,             0.00026563,             0.00026563,             0.00026563
                      7,                 1.7458,                 3.0316,                 1.4542,                 1.4199,                0.55101,                0.39625,                0.38746,                0.21135,                0.54785,                0.35937,                0.34565,                0.16116,                 1.7533,                 3.0417,                  1.406,                 1.4217,             0.00021356,             0.00021356,             0.00021356
                      8,                  1.726,                 3.0049,                 1.4139,                 1.4039,                0.62225,                0.39828,                0.40462,                0.22458,                0.61177,                 0.3659,                0.36068,                0.16853,                 1.7254,                 3.0194,                  1.389,                 1.4051,             0.00016148,             0.00016148,             0.00016148
                      9,                 1.7094,                 2.9767,                 1.3778,                 1.3902,                0.55063,                0.41951,                0.41746,                0.23079,                0.52675,                0.38416,                0.37272,                0.17465,                 1.7308,                 3.0162,                 1.3472,                 1.3996,             0.00010941,             0.00010941,             0.00010941
                     10,                 1.6918,                 2.9518,                  1.349,                 1.3792,                0.52877,                0.43201,                0.42483,                 0.2382,                0.49823,                0.39712,                0.38051,                0.17977,                 1.7106,                 2.9897,                  1.341,                 1.3942,             5.7334e-05,             5.7334e-05,             5.7334e-05
