                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8952,                 3.4293,                 2.3167,                 1.5804,                0.61446,                0.27062,                0.27519,                0.14771,                0.59569,                0.25069,                0.24783,                0.11718,                 1.8272,                 3.2138,                 1.6033,                 1.5412,                0.00333,                0.00333,                0.00333
                      2,                 1.7839,                 3.1227,                 1.6079,                 1.4311,                0.49142,                0.33021,                0.31123,                0.16574,                0.47456,                0.30159,                 0.2795,                0.12963,                 1.8264,                 3.1837,                 1.5339,                  1.515,              0.0066304,              0.0066304,              0.0066304
                      3,                 1.8121,                 3.1394,                 1.6153,                 1.4456,                0.45421,                 0.3331,                0.31222,                0.16156,                0.52084,                0.29978,                0.27736,                0.12399,                 1.8699,                 3.2632,                 1.5943,                 1.5352,              0.0098977,              0.0098977,              0.0098977
                      4,                 1.8232,                  3.137,                 1.6112,                 1.4545,                 0.4456,                0.35799,                0.32451,                0.17055,                0.42155,                0.32472,                0.28826,                0.13072,                  1.848,                 3.1838,                 1.5393,                 1.5291,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7943,                 3.0912,                 1.5503,                 1.4411,                0.53487,                0.35342,                0.34287,                0.18016,                0.56426,                0.31839,                0.30289,                0.13885,                 1.8091,                 3.1415,                  1.479,                  1.481,               0.009802,               0.009802,               0.009802
                      6,                 1.7763,                 3.0634,                 1.5096,                 1.4295,                0.49865,                0.37957,                0.35934,                0.18891,                0.45947,                0.34427,                0.31497,                0.14317,                 1.8127,                 3.1264,                 1.4574,                 1.4987,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7609,                 3.0452,                 1.4788,                 1.4216,                0.52359,                0.39708,                0.37554,                0.20267,                0.53765,                 0.3541,                0.33291,                 0.1542,                 1.7891,                 3.0854,                 1.4231,                 1.4904,               0.009703,               0.009703,               0.009703
                      8,                 1.7476,                 3.0229,                 1.4561,                 1.4134,                0.52277,                0.42345,                0.40338,                0.21808,                0.52242,                0.38443,                 0.3619,                0.16487,                  1.769,                 3.0561,                 1.3782,                 1.4697,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.738,                 3.0031,                 1.4346,                   1.41,                0.45108,                0.40766,                0.39862,                0.21655,                0.44082,                0.37006,                0.35328,                0.16313,                 1.7692,                 3.0582,                 1.3535,                 1.4643,               0.009604,               0.009604,               0.009604
                     10,                 1.7253,                 2.9852,                 1.4085,                 1.4006,                0.53161,                0.43309,                0.40831,                 0.2218,                 0.5133,                0.39419,                0.36471,                0.16607,                 1.7577,                 3.0385,                 1.3438,                 1.4578,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.722,                 2.9754,                 1.3984,                 1.3992,                0.53028,                0.43209,                0.41422,                0.22787,                0.50036,                0.39891,                0.37027,                   0.17,                 1.7373,                 3.0337,                 1.3325,                 1.4505,               0.009505,               0.009505,               0.009505
                     12,                 1.7066,                 2.9598,                 1.3775,                 1.3894,                0.54597,                0.42847,                0.41314,                0.22635,                0.52955,                0.39215,                 0.3707,                 0.1711,                 1.7325,                 3.0044,                 1.3275,                  1.447,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7038,                 2.9533,                 1.3704,                 1.3877,                0.47404,                0.44926,                0.42148,                0.23053,                 0.4454,                 0.4165,                 0.3765,                 0.1725,                 1.7496,                 3.0089,                  1.319,                 1.4617,               0.009406,               0.009406,               0.009406
                     14,                 1.7018,                 2.9496,                 1.3594,                 1.3839,                0.55859,                0.43869,                0.42481,                0.23349,                0.52283,                0.40505,                0.38159,                0.17739,                 1.7317,                 3.0035,                 1.3133,                 1.4416,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.691,                 2.9443,                 1.3506,                 1.3789,                0.57084,                0.44925,                0.43739,                0.23958,                0.54789,                0.41064,                0.39023,                0.18198,                 1.7209,                 2.9933,                 1.2966,                 1.4323,               0.009307,               0.009307,               0.009307
                     16,                 1.6841,                 2.9245,                 1.3422,                 1.3769,                0.52067,                0.45587,                0.44567,                 0.2438,                0.49395,                0.41471,                0.39558,                0.18311,                 1.7201,                 2.9785,                 1.2932,                 1.4409,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6846,                 2.9218,                 1.3341,                 1.3746,                0.51111,                0.47901,                 0.4546,                0.24847,                 0.4846,                0.43157,                0.40265,                0.18652,                 1.7172,                  2.975,                 1.2791,                 1.4329,               0.009208,               0.009208,               0.009208
                     18,                 1.6765,                 2.9073,                 1.3169,                 1.3699,                0.55929,                0.46477,                0.45616,                0.25129,                0.52642,                0.42838,                 0.4063,                0.18984,                 1.7132,                 2.9706,                 1.2761,                 1.4306,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6742,                 2.9079,                 1.3139,                 1.3662,                0.52583,                 0.4772,                0.45716,                0.25327,                0.49786,                 0.4349,                0.40922,                0.18972,                 1.7038,                 2.9636,                 1.2712,                 1.4192,               0.009109,               0.009109,               0.009109
                     20,                 1.6704,                 2.8983,                 1.3118,                 1.3644,                0.52681,                0.46565,                0.45649,                0.25432,                 0.5136,                0.42184,                0.40601,                0.19008,                  1.693,                 2.9534,                 1.2696,                 1.4273,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6658,                 2.8961,                 1.3055,                 1.3636,                0.53903,                0.47157,                0.46302,                0.25667,                0.53099,                0.42577,                0.41059,                0.19111,                 1.7015,                  2.961,                 1.2507,                 1.4191,                0.00901,                0.00901,                0.00901
                     22,                 1.6631,                 2.8851,                 1.2975,                 1.3567,                0.51947,                0.48822,                0.46801,                0.25721,                0.50752,                 0.4374,                0.41767,                0.19238,                  1.698,                 2.9497,                 1.2521,                 1.4202,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6583,                 2.8815,                 1.2979,                  1.358,                0.51783,                0.47438,                  0.467,                0.25731,                0.49781,                0.43232,                0.41827,                0.19352,                 1.6977,                 2.9565,                 1.2388,                 1.4194,               0.008911,               0.008911,               0.008911
                     24,                 1.6555,                 2.8677,                 1.2848,                  1.354,                0.51707,                 0.4938,                0.46707,                0.25762,                 0.4983,                0.44402,                0.41364,                0.19305,                 1.6922,                 2.9473,                 1.2409,                 1.4128,              0.0088615,              0.0088615,              0.0088615
                     25,                  1.655,                 2.8699,                 1.2809,                  1.349,                0.53319,                0.47895,                 0.4679,                0.26089,                0.50328,                0.44531,                0.41769,                0.19692,                  1.695,                 2.9383,                 1.2365,                   1.41,               0.008812,               0.008812,               0.008812
                     26,                 1.6546,                 2.8729,                 1.2832,                 1.3519,                0.54849,                0.48556,                0.47554,                0.26358,                0.52218,                 0.4399,                  0.421,                0.19556,                 1.6891,                 2.9382,                  1.225,                 1.4142,              0.0087625,              0.0087625,              0.0087625
